SKU,Name,Short description,Description,Regular price
YYY037001,DOTTZ Color Cheek Pop Command Blush,"• Disponible en 2 tonos: 01 Bloom Rose Blur (rosa malva difuminado) y 02 Cool Pink Chiffon (rosa frío tipo chiffon).
• Efecto ""filtro borroso"" (bloom/blur) que difumina la apariencia de la piel al aplicarlo.
• Polvo de textura fina y sedosa, fácil de difuminar.
• Acabado natural tipo acuarela, sin sensación pesada.","Conoce el Color Cheek Pop Command Blush de DOTTZ, un rubor en polvo de textura fina y sedosa pensado para entregar un efecto ""filtro borroso"" en las mejillas, como si llevaras un filtro de cámara puesto sobre la piel. Su fórmula se difumina con facilidad, dejando un acabado natural tipo acuarela que ilumina el rostro sin sensación pesada.
Disponible en 2 tonos:
01 Bloom Rose Blur, un rosa malva difuminado de aspecto saludable y cálido
02 Cool Pink Chiffon, un rosa frío con un toque violáceo, ideal para un look más sofisticado y delicado.
Ambos tonos comparten una base enriquecida con Manteca de Karité y Aceite de Macadamia, que aportan suavidad al deslizar el producto sobre la piel, junto a Extracto de Té Verde, Manzanilla y Bambú, que ayudan a calmar la piel durante la aplicación.",16980
YYY037002,DOTTZ Color Cheek Pop Command Blush,"• Disponible en 2 tonos: 01 Bloom Rose Blur (rosa malva difuminado) y 02 Cool Pink Chiffon (rosa frío tipo chiffon).
• Efecto ""filtro borroso"" (bloom/blur) que difumina la apariencia de la piel al aplicarlo.
• Polvo de textura fina y sedosa, fácil de difuminar.
• Acabado natural tipo acuarela, sin sensación pesada.","Conoce el Color Cheek Pop Command Blush de DOTTZ, un rubor en polvo de textura fina y sedosa pensado para entregar un efecto ""filtro borroso"" en las mejillas, como si llevaras un filtro de cámara puesto sobre la piel. Su fórmula se difumina con facilidad, dejando un acabado natural tipo acuarela que ilumina el rostro sin sensación pesada.
Disponible en 2 tonos:
01 Bloom Rose Blur, un rosa malva difuminado de aspecto saludable y cálido
02 Cool Pink Chiffon, un rosa frío con un toque violáceo, ideal para un look más sofisticado y delicado.
Ambos tonos comparten una base enriquecida con Manteca de Karité y Aceite de Macadamia, que aportan suavidad al deslizar el producto sobre la piel, junto a Extracto de Té Verde, Manzanilla y Bambú, que ayudan a calmar la piel durante la aplicación.",16980
YYY035001,GIVERNY Milchak Pen Liner,"• Disponible en 2 tonos: 01 Black (negro intenso) y 02 Black Brown (negro con base marrón).
• Punta tipo esponja ultra suave que entrega control total para trazos precisos.
• Fórmula ""Ink Fit"" de larga duración, resistente al agua y a las manchas hasta por 24 horas.
• Color altamente pigmentado desde la primera pasada.
• Secado rápido, sin arrastrar ni craquelar.","Conoce el Milchak Pen Liner de GIVERNY, un delineador tipo pluma con punta de esponja ultra suave que entrega control total para crear líneas precisas y duraderas durante todo el día. Su fórmula ""Ink Fit"" resiste al agua y a las manchas hasta por 24 horas, manteniendo el color intenso y vívido desde la primera aplicación.
Disponible en 2 tonos:
01 Black, un negro intenso ideal para una mirada definida y de alto contraste.
02 Black Brown, un negro con base marrón que suaviza el efecto frente al negro puro, perfecto para una mirada con encanto sin perder profundidad.
Su punta de esponja de alta densidad permite dibujar de manera uniforme, ya sea un trazo fino y natural o uno más grueso y definido, secando rápido y sin arrastrar el color sobre el párpado.",13980
YYY035002,GIVERNY Milchak Pen Liner,"• Disponible en 2 tonos: 01 Black (negro intenso) y 02 Black Brown (negro con base marrón).
• Punta tipo esponja ultra suave que entrega control total para trazos precisos.
• Fórmula ""Ink Fit"" de larga duración, resistente al agua y a las manchas hasta por 24 horas.
• Color altamente pigmentado desde la primera pasada.
• Secado rápido, sin arrastrar ni craquelar.","Conoce el Milchak Pen Liner de GIVERNY, un delineador tipo pluma con punta de esponja ultra suave que entrega control total para crear líneas precisas y duraderas durante todo el día. Su fórmula ""Ink Fit"" resiste al agua y a las manchas hasta por 24 horas, manteniendo el color intenso y vívido desde la primera aplicación.
Disponible en 2 tonos:
01 Black, un negro intenso ideal para una mirada definida y de alto contraste.
02 Black Brown, un negro con base marrón que suaviza el efecto frente al negro puro, perfecto para una mirada con encanto sin perder profundidad.
Su punta de esponja de alta densidad permite dibujar de manera uniforme, ya sea un trazo fino y natural o uno más grueso y definido, secando rápido y sin arrastrar el color sobre el párpado.",13980
YYY032001,VUCA Scent Classic Diffuser 260ml,"• Difusor de varitas de libración constante y duradera, diseño elegante en frasco translúcido.
• 5 variantes de aroma para elegir: desde florales y frutales hasta acuáticos y frescos.
• Intensidad ajustable: a más varitas insertadas, mayor proyección del aroma.
• Fácil de mantener: voltear las varitas cada 1-2 semanas para renovar la fragancia.
• Ideal para living, dormitorio, baño u oficina.
• Perfecta para regalo o autoregalo: packaging cuidado, aroma de hogar coreano.","Conoce el Scent Classic Diffuser de VUCA, un difusor de varitas que perfuma el hogar de forma constante y duradera, sin necesidad de electricidad ni fuego. Su fragancia se libera gradualmente a través de las varitas de ratán, creando un ambiente acogedor que perdura durante semanas.
Disponible en 5 variantes de aroma para adaptar el ambiente a cada momento y personalidad... Su diseño minimalista en frasco translúcido lo convierte en un elemento decorativo en sí mismo.
Ajusta la intensidad del aroma según tus preferencias: más varitas = mayor proyección.",21980
YYY032002,VUCA Scent Classic Diffuser 260ml,"• Difusor de varitas de libración constante y duradera, diseño elegante en frasco translúcido.
• 5 variantes de aroma para elegir: desde florales y frutales hasta acuáticos y frescos.
• Intensidad ajustable: a más varitas insertadas, mayor proyección del aroma.
• Fácil de mantener: voltear las varitas cada 1-2 semanas para renovar la fragancia.
• Ideal para living, dormitorio, baño u oficina.
• Perfecta para regalo o autoregalo: packaging cuidado, aroma de hogar coreano.","Conoce el Scent Classic Diffuser de VUCA, un difusor de varitas que perfuma el hogar de forma constante y duradera, sin necesidad de electricidad ni fuego. Su fragancia se libera gradualmente a través de las varitas de ratán, creando un ambiente acogedor que perdura durante semanas.
Disponible en 5 variantes de aroma para adaptar el ambiente a cada momento y personalidad... Su diseño minimalista en frasco translúcido lo convierte en un elemento decorativo en sí mismo.
Ajusta la intensidad del aroma según tus preferencias: más varitas = mayor proyección.",21980
YYY032003,VUCA Scent Classic Diffuser 260ml,"• Difusor de varitas de libración constante y duradera, diseño elegante en frasco translúcido.
• 5 variantes de aroma para elegir: desde florales y frutales hasta acuáticos y frescos.
• Intensidad ajustable: a más varitas insertadas, mayor proyección del aroma.
• Fácil de mantener: voltear las varitas cada 1-2 semanas para renovar la fragancia.
• Ideal para living, dormitorio, baño u oficina.
• Perfecta para regalo o autoregalo: packaging cuidado, aroma de hogar coreano.","Conoce el Scent Classic Diffuser de VUCA, un difusor de varitas que perfuma el hogar de forma constante y duradera, sin necesidad de electricidad ni fuego. Su fragancia se libera gradualmente a través de las varitas de ratán, creando un ambiente acogedor que perdura durante semanas.
Disponible en 5 variantes de aroma para adaptar el ambiente a cada momento y personalidad... Su diseño minimalista en frasco translúcido lo convierte en un elemento decorativo en sí mismo.
Ajusta la intensidad del aroma según tus preferencias: más varitas = mayor proyección.",21980
YYY032004,VUCA Scent Classic Diffuser 260ml,"• Difusor de varitas de libración constante y duradera, diseño elegante en frasco translúcido.
• 5 variantes de aroma para elegir: desde florales y frutales hasta acuáticos y frescos.
• Intensidad ajustable: a más varitas insertadas, mayor proyección del aroma.
• Fácil de mantener: voltear las varitas cada 1-2 semanas para renovar la fragancia.
• Ideal para living, dormitorio, baño u oficina.
• Perfecta para regalo o autoregalo: packaging cuidado, aroma de hogar coreano.","Conoce el Scent Classic Diffuser de VUCA, un difusor de varitas que perfuma el hogar de forma constante y duradera, sin necesidad de electricidad ni fuego. Su fragancia se libera gradualmente a través de las varitas de ratán, creando un ambiente acogedor que perdura durante semanas.
Disponible en 5 variantes de aroma para adaptar el ambiente a cada momento y personalidad... Su diseño minimalista en frasco translúcido lo convierte en un elemento decorativo en sí mismo.
Ajusta la intensidad del aroma según tus preferencias: más varitas = mayor proyección.",21980
YYY032005,VUCA Scent Classic Diffuser 260ml,"• Difusor de varitas de libración constante y duradera, diseño elegante en frasco translúcido.
• 5 variantes de aroma para elegir: desde florales y frutales hasta acuáticos y frescos.
• Intensidad ajustable: a más varitas insertadas, mayor proyección del aroma.
• Fácil de mantener: voltear las varitas cada 1-2 semanas para renovar la fragancia.
• Ideal para living, dormitorio, baño u oficina.
• Perfecta para regalo o autoregalo: packaging cuidado, aroma de hogar coreano.","Conoce el Scent Classic Diffuser de VUCA, un difusor de varitas que perfuma el hogar de forma constante y duradera, sin necesidad de electricidad ni fuego. Su fragancia se libera gradualmente a través de las varitas de ratán, creando un ambiente acogedor que perdura durante semanas.
Disponible en 5 variantes de aroma para adaptar el ambiente a cada momento y personalidad... Su diseño minimalista en frasco translúcido lo convierte en un elemento decorativo en sí mismo.
Ajusta la intensidad del aroma según tus preferencias: más varitas = mayor proyección.",21980
YYY025001,ZIGTAG Berry Smoothie Scrub Cleanser 130ml,"• Limpiador 4 en 1: limpia, exfolia, destapa poros e hidrata en un solo paso.
• Textura tipo jalea elástica de Konjac, que exfolia suavemente sin irritar.
• Remueve el 99,91% del maquillaje, sin necesidad de doble limpieza.
• Controla el exceso de sebo y es apto para piel con tendencia acneica.
• Complejo de Vitamina B, C y E que hidrata y aporta vitalidad a la piel.","Conoce el Berry Smoothie Scrub Cleanser de ZIGTAG, un limpiador exfoliante de Konjac con una textura elástica tipo jalea de smoothie, que transforma la limpieza facial en un paso divertido y sensorial. Funciona como limpiador, exfoliante, mascarilla y removedor de maquillaje en uno solo, eliminando el 99,91% del maquillaje sin necesidad de doble limpieza.
Su fórmula está potenciada con Extracto de Frambuesa, que revitaliza la piel opaca aportando hidratación y nutrición, y un complejo de Vitaminas B, C y E que hidrata y devuelve vitalidad a la piel. El Konjac afina los poros con una exfoliación suave que no irrita, mientras controla el exceso de sebo, siendo apto incluso para piel con tendencia acneica.",16980
